cve_ent,ent,cve_mun,mun,pobtot
1,Aguascalientes,0,Total de la entidad Aguascalientes,1432325
1,Aguascalientes,1,Aguascalientes,1900527
1,Aguascalientes,2,Asientos,103432
1,Aguascalientes,3,Calvillo,116736
1,Aguascalientes,4,CosÃ­o,34187
1,Aguascalientes,5,JesÃºs MarÃ­a,260317
1,Aguascalientes,6,PabellÃ³n de Arteaga,95866
1,Aguascalientes,7,RincÃ³n de Romos,115625
1,Aguascalientes,8,San JosÃ© de Gracia,19155
1,Aguascalientes,9,TepezalÃ¡,45250
1,Aguascalientes,10,El Llano,42559
1,Aguascalientes,11,San Francisco de los Romo,124278
2,Baja California,0,Total de la entidad Baja California,3783852
2,Baja California,1,Ensenada,891831
2,Baja California,2,Mexicali,2105672
2,Baja California,3,Tecate,218443
2,Baja California,4,Tijuana,3846134
2,Baja California,5,Playas de Rosarito,254410
2,Baja California,6,San QuintÃ­n,236382
3,Baja California Sur,0,Total de la entidad Baja California Sur,806190
3,Baja California Sur,1,ComondÃº,147757
3,Baja California Sur,2,MulegÃ©,129330
3,Baja California Sur,3,La Paz,587269
3,Baja California Sur,8,Los Cabos,703797
3,Baja California Sur,9,Loreto,36484
4,Campeche,0,Total de la entidad Campeche,935739
4,Campeche,1,CalkinÃ­,118608
4,Campeche,2,Campeche,588905
4,Campeche,3,Carmen,500077
4,Campeche,4,ChampotÃ³n,156967
4,Campeche,5,HecelchakÃ¡n,63883
4,Campeche,6,HopelchÃ©n,84425
4,Campeche,7,Palizada,17729
4,Campeche,8,Tenabo,22946
4,Campeche,9,EscÃ¡rcega,120586
4,Campeche,10,Calakmul,63819
4,Campeche,11,Candelaria,95516
4,Campeche,12,Seybaplaya,30641
5,Coahuila de Zaragoza,0,Total de la entidad Coahuila de Zaragoza,3158312
5,Coahuila de Zaragoza,1,Abasolo,2091
5,Coahuila de Zaragoza,2,AcuÃ±a,326554
5,Coahuila de Zaragoza,3,Allende,46219
5,Coahuila de Zaragoza,4,Arteaga,60356
5,Coahuila de Zaragoza,5,Candela,3296
5,Coahuila de Zaragoza,6,CastaÃ±os,58421
5,Coahuila de Zaragoza,7,Cuatro CiÃ©negas,25621
5,Coahuila de Zaragoza,8,Escobedo,6132
5,Coahuila de Zaragoza,9,Francisco I. Madero,118304
5,Coahuila de Zaragoza,10,Frontera,164894
5,Coahuila de Zaragoza,11,General Cepeda,24084
5,Coahuila de Zaragoza,12,Guerrero,3511
5,Coahuila de Zaragoza,13,Hidalgo,3522
5,Coahuila de Zaragoza,14,JimÃ©nez,19435
5,Coahuila de Zaragoza,15,JuÃ¡rez,3251
5,Coahuila de Zaragoza,16,Lamadrid,3549
5,Coahuila de Zaragoza,17,Matamoros,237449
5,Coahuila de Zaragoza,18,Monclova,476162
5,Coahuila de Zaragoza,19,Morelos,16010
5,Coahuila de Zaragoza,20,MÃºzquiz,143768
5,Coahuila de Zaragoza,21,Nadadores,13166
5,Coahuila de Zaragoza,22,Nava,66493
5,Coahuila de Zaragoza,23,Ocampo,19492
5,Coahuila de Zaragoza,24,Parras,89254
5,Coahuila de Zaragoza,25,Piedras Negras,353778
5,Coahuila de Zaragoza,26,Progreso,6523
5,Coahuila de Zaragoza,27,Ramos Arizpe,246059
5,Coahuila de Zaragoza,28,Sabinas,129791
5,Coahuila de Zaragoza,29,Sacramento,4976
5,Coahuila de Zaragoza,30,Saltillo,1760559
5,Coahuila de Zaragoza,31,San Buenaventura,49748
5,Coahuila de Zaragoza,32,San Juan de Sabinas,84665
5,Coahuila de Zaragoza,33,San Pedro,202663
5,Coahuila de Zaragoza,34,Sierra Mojada,13648
5,Coahuila de Zaragoza,35,TorreÃ³n,1441775
5,Coahuila de Zaragoza,36,Viesca,40721
5,Coahuila de Zaragoza,37,Villa UniÃ³n,12491
5,Coahuila de Zaragoza,38,Zaragoza,26652
6,Colima,0,Total de la entidad Colima,735166
6,Colima,1,ArmerÃ­a,55458
6,Colima,2,Colima,314530
6,Colima,3,Comala,43586
6,Colima,4,CoquimatlÃ¡n,41933
6,Colima,5,CuauhtÃ©moc,62740
6,Colima,6,IxtlahuacÃ¡n,11314
6,Colima,7,Manzanillo,382676
6,Colima,8,MinatitlÃ¡n,20522
6,Colima,9,TecomÃ¡n,234134
6,Colima,10,Villa de Ãlvarez,299664
7,Chiapas,0,Total de la entidad Chiapas,5591856
7,Chiapas,1,Acacoyagua,36257
7,Chiapas,2,Acala,42661
7,Chiapas,3,Acapetahua,54376
7,Chiapas,4,Altamirano,72551
7,Chiapas,5,AmatÃ¡n,49152
7,Chiapas,6,Amatenango de la Frontera,63497
7,Chiapas,7,Amatenango del Valle,22576
7,Chiapas,8,Angel Albino Corzo,64144
7,Chiapas,9,Arriaga,82989
7,Chiapas,10,Bejucal de Ocampo,14744
7,Chiapas,11,Bella Vista,40362
7,Chiapas,12,BerriozÃ¡bal,130255
7,Chiapas,13,Bochil,74539
7,Chiapas,14,El Bosque,48620
7,Chiapas,15,CacahoatÃ¡n,100365
7,Chiapas,16,CatazajÃ¡,35680
7,Chiapas,17,Cintalapa,179417
7,Chiapas,18,Coapilla,19832
7,Chiapas,19,ComitÃ¡n de DomÃ­nguez,332907
7,Chiapas,20,La Concordia,101846
7,Chiapas,21,CopainalÃ¡,44576
7,Chiapas,22,ChalchihuitÃ¡n,43830
7,Chiapas,23,Chamula,203937
7,Chiapas,24,Chanal,27356
7,Chiapas,25,Chapultenango,14968
7,Chiapas,26,ChenalhÃ³,94768
7,Chiapas,27,Chiapa de Corzo,225102
7,Chiapas,28,Chiapilla,12316
7,Chiapas,29,ChicoasÃ©n,10811
7,Chiapas,30,Chicomuselo,73939
7,Chiapas,31,ChilÃ³n,274741
7,Chiapas,32,Escuintla,62094
7,Chiapas,33,Francisco LeÃ³n,14505
7,Chiapas,34,Frontera Comalapa,162291
7,Chiapas,35,Frontera Hidalgo,29212
7,Chiapas,36,La Grandeza,15412
7,Chiapas,37,HuehuetÃ¡n,72768
7,Chiapas,38,HuixtÃ¡n,45950
7,Chiapas,39,HuitiupÃ¡n,55854
7,Chiapas,40,Huixtla,107176
